;texto;polarity;subjectivity;location;Latitude;Longitude
65;"O NORDESTE É BOLSONARO...
ESTOU ESCREVENDO ISTO POR QUE, É MEU DIREITO E POR QUE  EU QUERO, É DE GRAÇA. ENTENDERAM:… https://t.co/WPUSCrVp5g";0.34285714285714286;0.6678571428571429;Lisboa, Portugal;38.72639000000004;-9.149479999999926
66;Bolsonaro nem entrou e já tão se vitimando de repressão. Bando de cu frouxo !!!!;0.0;0.0;Brasil;-10.769946428999958;-53.073466888999974
67;"#MudaBrasil17 
Muda de verdade e com CORAGEM!
Bolsonaro 17 + CONFIRMA! https://t.co/rNefor36Pc";0.0;0.0;Brasil;-10.769946428999958;-53.073466888999974
68;Como Bolsonaro não tem nem bandeira essas porras tem que ficar gritando dentro do carro 😂😂😂😂 #elenão;0.0;0.0;Aonde a maldade não se cria;8.116670000000056;8.550000000000068
69;#Bolsonaro 's rhetoric   (Brazil's likely next president ): UTTERLY CHILLING ! https://t.co/BOrWHS8kRw;-0.20833333333333334;0.6333333333333333;Chad and France. Personal blog;45.74566000000004;4.37578000000002
70;Se o Bolsonaro ganhar, como vai ficar as minhas novelas na globo?;0.3;0.2;Petrópolis, Brasil;-22.50383999999997;-43.18203999999997
71;"é engraçado que o único argumento que as pessoas que votam no bolsonaro têm, é que ""ah mas o pt roubou"", nunca é po… https://t.co/GZ8WQwVGz6";0.125;1.0;Santo André, Brasil;-23.65636999999998;-46.53173999999996
72;A dor deles é a mesma dor de qualquer outro. Não é pq estão habituados com a marginalidade q amam menos, que sofrem… https://t.co/MJw0E8gDbs;0.052083333333333336;0.2916666666666667;Brazil;-10.769946428999958;-53.073466888999974
73;@fernandaFLATT Oi eu sou robô do Bolsonaro, rsrsrs;0.8;0.7;ÜT: -22.965138,-43.194736;39.32372519300003;-111.67824839099995
74;I liked a @YouTube video https://t.co/qg0fvF5zYy O único debate entre Bolsonaro e Haddad, por Marcelo Adnet;0.3;0.9;Brasil;-10.769946428999958;-53.073466888999974
75;@thecliniccl Necesitamos un Bolsonaro, urgente.;0.0;0.0;Santiago, Chile;-33.43721999999997;-70.65001999999998
76;@CrazySheilla @mauricioweber @JornalOGlobo E ao certo o que oferece hoje menos risco e o Bolsonaro. Pt é uma certez… https://t.co/Ld4RFCLa8W;0.14444444444444446;0.3185185185185185;Manaus - AM;-3.109149999999943;-60.05179999999996
77;Se o Bolsonaro fará um bom governo, o futuro dirá. Sobre o pt, o passado já disse. #MudaBrasil;0.15;0.325;Itabuna, Brasil;-14.788949999999943;-39.27718999999996
78;@analisdocsPF Claro. Por isso ele foi eleito deputado por tantos anos. Nao sabia que essa moça ajudou no processo.… https://t.co/U3peEUBsO9;0.5;0.5;Brasil;-10.769946428999958;-53.073466888999974
79;@jairbolsonaro #MudaBrasil17. Bolsonaro presidente!!;0.0;0.0;Rio de Janeiro, Brazil;-22.91215999999997;-43.17500999999993
80;"@jairbolsonaro  muito bom dia meu presidente 

Aqui em Alvorada do Oeste, RONDÔNIA.
RONDÔNIA é #Bolsonaro 👏👏👏👏👏👏";0.7;0.6000000000000001;Alvorada d'Oeste, Brasil;-11.348509999999976;-62.28822999999994
81;@Haddad_Fernando Bolsonaro é mais. Muito mais!;0.5625;0.5;Brasil;-10.769946428999958;-53.073466888999974
82;Melhor frase que eu vi no dia. Nunca vou perdoar o bolsonaro por me. Fazer votar no PT;1.0;0.3;Curitiba, Brazil;-25.439979999999935;-49.276539999999954
83;"@joaquimboficial O senhor como relator do Mensalão tem o direito de votar no partido que o senhor condenou.

Eu pre… https://t.co/cm6vBR52Ti";0.2857142857142857;0.5357142857142857;Eunápolis-ba;-16.36728999999997;-39.58236999999997
84;"@fayecomlis @karloscentelha5 @joaquimboficial Também poderia ser dito em alemão: ""Brazil über alles"". Afinal, tudo… https://t.co/GIgmUem9Sc";0.0;0.0;Franca-SP;-20.527939999999944;-47.39190999999994
85;"HOJE (27) MIRIAM LEITÃO VOLTOU A ATACAR BOLSONARO. - Ela ADVERTE a POPULAÇÃO BRASILEIRA: ""Votar em Bolsonaro é vota… https://t.co/sHWHlDCIMc";0.0;0.0;Curitiba - PR;-25.439979999999935;-49.276539999999954
86;#ViraVotoHaddad13 O único debate entre Bolsonaro e Haddad, por Marcelo Adnet https://t.co/cFYmy7Np3e via @YouTube;0.0;1.0;Brazil;-10.769946428999958;-53.073466888999974
87;se o bolsonaro vencer quando vao começar os protestos contra ele????????;0.8;0.4;@vkbeilish always in my heart.;36.328820000000064;-91.70020999999997
88;"Um incômodo muito sincero:

Conheço muitas pessoas que, em público, dizem que Bolsonaro não representa qualquer ris… https://t.co/8CtXxeyx7Q";0.3833333333333333;0.4055555555555555;São Paulo, SP, Brazil;-23.562869999999975;-46.654679999999985
89;"Sou da época em que defender Bolsonaro era coisa de maluco. 

Há 05 anos na luta por @jairbolsonaro .";-0.6;0.9;Brasil;-10.769946428999958;-53.073466888999974
90;Vídeo em que crianças repetem frases de @JairBolsonaro é considerado apologia ao crime pela Justiça… https://t.co/9yGNTf9DI6;0.0;0.0;Belo Horizonte;-19.919519999999977;-43.93832999999995
91;"@marinovaisz @deinhajpg O ""consciente""  se dá pelo fato dela saber o que tá fazendo e não por ser Bolsonaro.";-0.012499999999999997;0.4375;Velaris-The Court of Dreams;47.241040000000055;7.341450000000066
92;Jair Bolsonaro, futur président des footballeurs brésiliens ? https://t.co/OJq3DBmXDX;0.0;0.125;Paris, XX;48.85717000000005;2.3414000000000215
93;"Kkkkk.     Kkkkkkkkkkk
Kkkkk.      Kkkkkkkkkkk
  kkkk.                   Kkkk
  kkkk.                 Kkkk
  kkkk.… https://t.co/bKMqZNFKTx";0.8;0.7;Vila de Mafra;-23.559349999999938;-46.54788999999994
94;"@Leosobbbbb @chernicharos @basilioCLAVE Muito em cima,  o problema é o anti petismo. 
Bolsonaro é o único candidato q representa isso";0.1;0.7;Manhattan, NY;40.714500000000044;-74.00600999999995
95;Filho de Bolsonaro elogia ação da Justiça Eleitoral em universidades https://t.co/7ylYHRUfhT;0.1;0.1;São Paulo, Brasil;-23.562869999999975;-46.654679999999985
96;@vaIehomossexuaI @AnaCerqueira1 Quem apoia o Bolsonaro, é família, é amor! #MudaBrasil17;0.625;0.6;Rio Grande do Sul, Brazil;-29.693007415999944;-53.32617115199997
97;"@MagnoMalta @laurietecantora @JoseMedeirosMT #Haddad13 #Bolsonaro
Se, radicais de esquerda são esquerdopatas, podem… https://t.co/vTHKe0UmFU";0.0;0.0;Brazil;-10.769946428999958;-53.073466888999974
98;"#ELEIÇÕES2018
Moderando o discurso, Bolsonaro recua de promessas eleitorais mais polêmicas. Atrás de eleitorado, ca… https://t.co/QR3wv5JbUJ";0.21666666666666667;0.7166666666666667;Brasil;-10.769946428999958;-53.073466888999974
99;@joaojunio13 @Mavilyn2 @Morfonauta Caixa 2 é CRIME ELEITORAL, Bolsonaro também é CORRUPTO meu fi, armaria nã, sabe… https://t.co/saO9Q6bXHk;-0.5;1.0;Venus;32.43146000000007;-97.10200999999995
100;"In this article, other women explain why they vote for Bolsonaro.
https://t.co/EeaiJWmuLX";-0.125;0.375;Washington, DC;38.890370000000075;-77.03195999999997
101;The runoff is this Sunday. Although the gap between the two candidates has been reducing, Bolsonaro maintains a sol… https://t.co/ud4adFn55I;0.0;0.0;Washington, DC;38.890370000000075;-77.03195999999997
102;Veto de Luciano Huck a nota contra Bolsonaro gera crise no movimento Agora! https://t.co/dk7DTTtlEx;0.0;0.0;Curitiba;-25.439979999999935;-49.276539999999954
103;https://t.co/AixMEpklZi;0.0;0.0;Washington, DC;38.890370000000075;-77.03195999999997
104;"Conheça mais sobre Bolsonaro
#B17

https://t.co/1Ex8nn2Nir
https://t.co/mpUGubOXHU https://t.co/dlveYPD7vD";0.5;0.5;Sou Minas Gerais;-19.910689988891438;-43.998269919499165
105;"Bolsonaro devia lavar a boca com sabão prá falar do Nordeste.
Cabra safado nunca trabalhou,
Mulanbo chique na vadia… https://t.co/IEHByJIAee";-0.15000000000000002;0.9;ABC SP- Brasil;-23.283919999999966;-45.970879999999966
106;"Bolsonaro, a former army captain, said:
– he wouldn’t rape a congresswoman because she was too ugly
– he wouldn't p… https://t.co/W9Tyx0ZMrT";-0.35;0.5;Washington, DC;38.890370000000075;-77.03195999999997
107;@monark monark, pensar na corrupção como culpa dum partido é pura fantasia, bolsonaro não sabe lidar nem com seus a… https://t.co/hU841bOIpM;0.21428571428571427;0.5;Curitiba;-25.439979999999935;-49.276539999999954
108;@moacirschmidt @alefilippin @dw_brasil Mas se é real, assim como o caso do evangélico que foi morto por apoiar o Bo… https://t.co/4g05tHmh1Z;0.08333333333333333;0.18333333333333335;Piúma, Brasil;-20.834539999999947;-40.72644999999994
109;Se bolsonaro ganhar meus amigos tão fodido, vão ter que voltar a usar droga escondido;0.008333333333333352;0.35833333333333334;Barreiro, Br;-29.499999999999943;-53.58332999999993
110;“People who live in favelas suffer from violence in their everyday life. Bolsonaro offers a simplistic discourse ab… https://t.co/Zash1qQTv5;-0.1159090909090909;0.4;Washington, DC;38.890370000000075;-77.03195999999997
111;"@CarlosBolsonaro 
Qual a veracidade dessa mensagem 👇🏻?
""Que ao votar escreve no comprovante B17 e envia para o E-ma… https://t.co/tzDuRxErfV";0.0;0.0;Maceió, Brasil;-9.666479999999979;-35.73498999999998
112;"Bolsonaro sounds like an admirer of the military regime (1964-1985). @helopait said:

“The widespread support for h… https://t.co/MiTROONGS8";-0.1;0.1;Washington, DC;38.890370000000075;-77.03195999999997
113;https://t.co/0NtOEC8y6p;0.0;0.0;Bahia;-12.490536620999933;-41.73040983399994
114;colocaram uma figurinha do Bolsonaro na roda do carro do meu pai 🤦🏽‍♀️;-0.1875;0.5;meu bonde é cut cut, beijos ✨;5.339460000000031;95.89801000000006
115;Despite his rhetoric against women, Afro-Brazilians and the LGBTQ community, they think Bolsonaro would bring chang… https://t.co/MndfX0gxvL;0.0;0.0;Washington, DC;38.890370000000075;-77.03195999999997
116;"Why do so many Brazilians support controversial presidential candidate Jair Bolsonaro?

Videojournalist Kadeh Ferre… https://t.co/ENqYqZqSCP";0.525;0.725;Washington, DC;38.890370000000075;-77.03195999999997
117;"Eu fico imaginando a cara do Juiz que recebeu esse documento.
""Ele falou do Haddad?""
""Não, mas chamou o Bolsonaro d… https://t.co/SUkiq3hvyf";0.0;0.0;Santa Cataralha;7.591170000000034;-7.903529999999932
118;Imagens de Lula e Haddad discutindo o que deu errado, já que JAIR Bolsonaro é o candidato do povo. https://t.co/EcCpaK3MRa;-0.5;0.9;Brasil;-10.769946428999958;-53.073466888999974
119;Ibope: em SP, Bolsonaro tem 64% e Haddad, 36% - ISTOÉ Independente https://t.co/wqwZsfZOLO;0.0;0.0;São Paulo;-23.562869999999975;-46.654679999999985
120;bom dia e bolsonaro é o caralho;0.7;0.6000000000000001;tardis;48.209309930607745;16.371040062179
121;ah pronto, uma hora dessa maconheiro defendendo Bolsonaro na tl kkkkkkkkkkkk;0.0;0.0;santa cruz;-17.783669999999972;-63.18040999999994
